Hand,Suited,High card,Pair,Two Pair,Three of a Kind,Straight,Flush,Full House,Four of a Kind,Straight Flush
J9,Suited,0.1654009892578678,0.41382317959561254,0.21890445354830185,0.04289395684268157,0.06965630840680398,0.06429656969170647,0.022241310955464517,0.0012592270950933565,0.001524004606467934
J8,Suited,0.16971955294606278,0.42056297079423816,0.22015188128905586,0.04315873435405614,0.057085748267854786,0.06474305725990674,0.022241310955464517,0.0012592270950933565,0.001077517038267666
J7,Suited,0.17403811663425778,0.42730276199286377,0.2213993090298099,0.043423511865430725,0.044515188128905585,0.065189544828107,0.022241310955464517,0.0012592270950933565,0.000631029470067398
J6,Suited,0.17835668032245275,0.4340425531914894,0.2226467367705639,0.0436882893768053,0.03194462798995639,0.06563603239630728,0.022241310955464517,0.0012592270950933565,0.00018454190186712984
J5,Suited,0.17576554210953577,0.43269459495176427,0.2226467367705639,0.0436882893768053,0.0358837244425985,0.06561479355849648,0.022241310955464517,0.0012592270950933565,0.0002057807396779248
J4,Suited,0.17792482395363327,0.4340425531914894,0.2226467367705639,0.0436882893768053,0.03237648435877589,0.0656355604221337,0.022241310955464517,0.0012592270950933565,0.00018501387604070305
J3,Suited,0.18008410579773074,0.4353905114312145,0.2226467367705639,0.0436882893768053,0.028869244274953274,0.06565632728577092,0.022241310955464517,0.0012592270950933565,0.00016424701240348128
J2,Suited,0.18224338764182824,0.4367384696709396,0.2226467367705639,0.0436882893768053,0.02536200419113066,0.06567709414940814,0.022241310955464517,0.0012592270950933565,0.0001434801487662595
TA,Suited,0.17576554210953577,0.4286507202325889,0.2213993090298099,0.043423511865430725,0.04143980441390247,0.06520983971757066,0.022241310955464517,0.0012592270950933565,0.0006107345806037494
TK,Suited,0.1714469784213408,0.42191092903396327,0.22015188128905586,0.04315873435405614,0.054010364552851665,0.06476335214937039,0.022241310955464517,0.0012592270950933565,0.0010572221488040175
TQ,Suited,0.1649691328890483,0.41382317959561254,0.21890445354830185,0.04289395684268157,0.07008816477562348,0.06429609771753289,0.022241310955464517,0.0012592270950933565,0.0015244765806415074
TJ,Suited,0.15849128735675583,0.40573543015726177,0.2176570258075478,0.04262917933130699,0.0861659649983953,0.06382884328569541,0.022241310955464517,0.0012592270950933565,0.001991731012478997
T9,Suited,0.15892314372557534,0.40573543015726177,0.2176570258075478,0.04262917933130699,0.08573410862957578,0.06382931525986899,0.022241310955464517,0.0012592270950933565,0.001991259038305424
T8,Suited,0.1632417074137703,0.4124752213558874,0.21890445354830185,0.04289395684268157,0.07316354849062659,0.06427580282806925,0.022241310955464517,0.0012592270950933565,0.0015447714701051559
T7,Suited,0.1675602711019653,0.41921501255451304,0.22015188128905586,0.04315873435405614,0.060592988351677396,0.06472229039626952,0.022241310955464517,0.0012592270950933565,0.0010982839019048878
T6,Suited,0.17187883479016028,0.42595480375313866,0.2213993090298099,0.043423511865430725,0.0480224282127282,0.06516877796446978,0.022241310955464517,0.0012592270950933565,0.0006517963337046197
T5,Suited,0.17576554210953577,0.43269459495176427,0.2226467367705639,0.0436882893768053,0.0358837244425985,0.06561479355849648,0.022241310955464517,0.0012592270950933565,0.0002057807396779248
T4,Suited,0.17576554210953577,0.43269459495176427,0.2226467367705639,0.0436882893768053,0.0358837244425985,0.06561479355849648,0.022241310955464517,0.0012592270950933565,0.0002057807396779248
T3,Suited,0.17792482395363327,0.4340425531914894,0.2226467367705639,0.0436882893768053,0.03237648435877589,0.0656355604221337,0.022241310955464517,0.0012592270950933565,0.00018501387604070305
T2,Suited,0.18008410579773074,0.4353905114312145,0.2226467367705639,0.0436882893768053,0.028869244274953274,0.06565632728577092,0.022241310955464517,0.0012592270950933565,0.00016424701240348128
98,Suited,0.15935500009439482,0.40573543015726177,0.2176570258075478,0.04262917933130699,0.08530225226075629,0.06382978723404255,0.022241310955464517,0.0012592270950933565,0.001990787064131851
