Hand,Suited,Mean,Standard Deviation,Median,IQR
AA,Off-suited,2461.92756706753,982.9573608546975,2546.0,879.0
KK,Off-suited,2597.6240480280917,1046.362773049662,2667.0,1099.0
KA,Suited,3672.6666182106514,1774.0819021721038,3546.0,2773.0
KA,Off-suited,3874.3164813381413,1652.28611406257,3556.0,2927.0
